"scenario_id","mode","cefr","title","npc_role","setting","user_turns","npc_lines","model_answers","turkish_hints","naturalness_1_5","grammar_ok","cultural_fit_ok","reviewer_notes"
"airport.44.1","airport","A2","Check-in + Bagaj","Check-in Agent","Airline check-in counter","2","Good morning. Passport and ticket, please. Where are you flying today? || Great. Any bags to check today? || Please place it on the belt. Do you have any liquids, batteries, or sharp objects in your carry-on? || All set. Gate B23, boarding at 10:40. Have a good flight!","Hi, checking in for TK0001 to Istanbul. Here's my passport. || One bag to check, and a carry-on.","Net aç: 'Hi, checking in for TK0001 to Istanbul. Here's my passport.' || Sayı + 'to check' + carry-on: 'One bag to check, and a carry-on.'","","","",""
"airport.44.14","airport","B1","Aktarmayı Kaçırdım — Rebook İste","Airline Service Agent","Lufthansa transfer desk, late evening, busy","2","Next, please. How can I help? || Sorry to hear that. What was your original flight number? || I see. The next flight is tomorrow morning at 8am. Does that work? || Nothing earlier, I'm afraid. Since this is our delay, you get a hotel voucher.","Hi, I missed my connection to Istanbul because the first flight was delayed. || LH9, from Istanbul to Frankfurt, then LH600 to Boston.","Sakin aç: 'Hi, I missed my connection to Istanbul because the first flight was delayed.' Suçlama yok, bilgi ver. || Uçuş numarası ver: 'LH9, from Istanbul to Frankfurt, then LH600 to Boston.'","","","",""
"airport.44.6","airport","B2","Gate Değişikliği: Sorma","Airport Staff","Departure hall — gate change confusion","2","Let me check… yes, the gate's been moved to D12. That's in Terminal 2 — you'll need the shuttle. || Shuttle bay is on the lower level, follow the orange signs. Trains run every 4 minutes — total trip is about 12 minutes. || You've got this. Safe travels!","Excuse me — could you help me? My boarding pass says B23 for TK0001, but I can't find it. || Got it — where do I catch the shuttle, and how long does it take?","Saygılı aç: 'Excuse me — could you help me? My boarding pass says B23 for TK0001, but I can't find it.' || Detay sor: 'Got it — where do I catch the shuttle, and how long does it take?'","","","",""
"airport.44.19","airport","C2","Upgrade İste — Long-haul Rahatlığı","Check-in Agent","Premium check-in counter, calm afternoon","2","Good afternoon. Checking in for New York? || We do have a couple of seats open in business. Were you looking to upgrade? || Cash upgrade is 1,200 dollars. Or 60,000 miles if you're with our program. || Premium economy is 350 dollars. Includes lounge access, priority boarding, and a better meal.","Yes, checking in for TK1 to JFK. By any chance, is there any upgrade availability today? || Yes, if possible — what are my options to upgrade?","Check-in + soru için köprü: 'Yes, checking in for TK1 to JFK. By any chance, is there any upgrade availability today?' || Kibar + meraklı: 'Yes, if possible — what are my options to upgrade?' 'I want upgrade' kaba.","","","",""
"arc.apartment_hunt.1","arc","A2","Sahne 1 — Daniel'a ilk arama: budget + criteria","Daniel (estate agent, efficient)","Phone call to Foxtons Shoreditch, Tuesday morning","2","Foxtons, Daniel speaking. What can I help with? || Sure — budget?","Looking for a one-bed, starting next month. || Up to £1800 PCM.","Net açılış: 'Looking for a one-bed, starting next month.' Türk: 'I need house' eksik, oda + zaman. || Bütçe: 'Up to £1800 PCM.' Türk: 'Not much' belirsiz, sayı + 'PCM' = per calendar month.","","","",""
"arc.apartment_hunt.4","arc","B1","Sahne 4 — Daniel: 'rent fiyatı için pazarlık'","Daniel (estate agent, negotiating with landlord)","Phone call, after viewing, Monday morning","2","Mrs. Pemberton liked you. The flat's yours if you want it. || She's firm on price. What's your case? || Three months upfront is interesting. Let me ask. || Back in an hour.","Interested — with one ask. || Comparable units go for less — I'd be long-term.","Pazarlık açış: 'Interested — with one ask.' Türk: 'Yes but cheaper' kaba, kibar açıl. || Kanıt + teklif: 'Comparable units go for less — I'd be long-term.' Türk: 'Just give discount' belirsiz, somut.","","","",""
"arc.customer_support.7","arc","B2","Sahne 7 — VIP müşteri özel istek: 'I need this today'","VIP customer demanding impossible turnaround","VIP support line, Friday 4pm","2","I need this resolved before close of business today. It's critical. || We have a client demo at 9 tomorrow. The integration is broken. || I don't have 30 minutes. || A workaround would work — just for the demo.","Let me see what we can do. || Here's what I can do.","Aciliyet onayla: 'Let me see what we can do.' Türk: 'I can't' kapalı, dene. || Çerçeve: 'Here's what I can do.' Türk: 'OK' düz, somut adım.","","","",""
"arc.apartment_hunt.7","arc","C2","Sahne 7 — Komşu şikayeti: 'gürültü'","Upstairs neighbour (tense, polite)","Doorstep encounter, Saturday morning","2","Hi — sorry to bother. The music last night was quite loud. || No worries, just — past midnight is rough. || Appreciate that. I work early shifts. || That'd actually help. I'm Sam, by the way.","I had no idea — thanks for coming to me. || It won't happen again.","Hızlı özür: 'I had no idea — thanks for coming to me.' Türk: 'I didn't' defansif, sorumlu + minnet. || Söz: 'It won't happen again.' Türk: 'OK' yetersiz, somut taahhüt.","","","",""
"bar.approach.24.15","bar","A2","Spor Bari — Mac Sohbeti","Stranger at next table","Sports bar during a game","2","Did you see that play? Insane. || Big fan of the Lakers. You? || Cool — where you watching from usually? || Nice — cool to meet you. Enjoy the game.","You a fan of either team? || Lakers fan too","Tepki ver: 'Yeah, insane!' Sonra: 'You a fan of either team?' || Cevap: 'Lakers fan too' veya 'I don't really follow'.","","","",""
"bar.approach.24.1","bar","B1","Bar'da Sohbet Acilisi","Stranger at bar","Bar counter","2","It's a smoked old fashioned. Solid choice if you're into whisky. || Yeah, very smoky but smooth. Bartender knows their stuff here. You a regular? || Cool — I'm grabbing brunch at this place on Sunday if you ever want recs.","Quick question — that looks good. What are you drinking? || Oh nice — usually a gin person but might try. Worth it?","Cevre-bazli ac: 'Quick question — that looks good. What are you drinking?' || Devam: 'Oh nice — usually a gin person but might try. Worth it?'","","","",""
"bar.approach.24.11","bar","B2","Wingman — Arkadaşı Tanıştırmak","Stranger (Sarah)","Bar, you're with a shy friend, Sarah is the stranger you met","2","Oh hey, you're back. Who's this? || Nice to meet you Burak! How's your Erasmus going? || Oh nice, I love hiking too! Where've you been? || Haha okay, thanks for the intro!","Hey, this is my friend Burak — he's also here for Erasmus || He's super into hiking — you two should chat!","Tanıştır: 'Hey, this is my friend Burak — he's also here for Erasmus'. || Yardım et: 'He's super into hiking — you two should chat!'","","","",""
"bar.approach.24.42","bar","C2","Jazz Set Critique — Nuanced Banter","Seasoned jazz aficionado","Jazz lounge, set break","2","Thoughts on the first set? || Interesting. I thought the horns were searching, not tentative — there's a difference. || Either way — what'd you make of the leader's choice to open with the ballad? || Conviction. Yeah — I'd grant you that. There was no hedging up there.","The rhythm section was locked in, that said, the horns felt tentative || Point taken — I can see the case for searching","C1: 'The rhythm section was locked in, that said, the horns felt tentative'. || C1 stance: 'Point taken — I can see the case for searching'.","","","",""
"career.b1.askquestions.1","career","B1","Asking the Interviewer","Hiring Manager","End of interview","2","We've got about five minutes left. Any questions for me? || Great question. We'd want you ramped up by month three and owning a workstream by month six. What else? || Honestly, our decision process is pretty async — we write proposals and discuss in threads. Sometimes that's slow. Anything else? || We'll do one more round, then a decision within two weeks. Thanks for the thoughtful questions.","What does success look like in the first six months? || How does the team make decisions when there's disagreement?","Açılış: 'Yes, a few questions actually.' Sonra: 'What does success look like in the first six months?' || Soru #2: ekip dinamiği. 'How does the team make decisions when there's disagreement?' veya 'What's something the team wishes worked better?'","","","",""
"career.b1.firstday.1","career","B2","First-Day Intro","Manager and teammate","First-day morning standup + virtual coffee","2","Alright team, let's kick off. We have someone new joining us today — want to introduce yourself? || Welcome aboard! Quick question — what's the first thing you want to get up to speed on? || Hey, I'm Lea — also on the backend team. Want to grab a virtual coffee later this week so I can give you context on what we're working on? || Perfect, I'll send something over today. Welcome to the team!","Hi everyone, I'm X. Just joined the backend team. Based in Istanbul. Last three years in fintech. Looking forward to working with you. || I'd like to get familiar with the codebase first, and meet the team one-on-one.","Formül: 'Hi everyone, I'm X. Just joined the backend team. Based in Istanbul. Last three years in fintech. Looking forward to working with you.' || Pratik öncelik: 'I'd like to get familiar with the codebase first, and meet the team one-on-one.'","","","",""
"daily.survival.a1.11","daily","A1","İhtiyaç — Bathroom, Wifi, Help","Café server","Café","2","Yes, how can I help? || It's in the back, on the left. || Sure, it's 'cafe2026' — all lowercase.","Excuse me || Where is the bathroom?","'Excuse me' ile başla. || 'Where is the bathroom?' veya 'Restroom, please?'","","","",""
"daily.a2.datetime.1","daily","A2","Tarih + saat tam ifadeleri","Friend","Texting / coffee plan","2","Hey, are you free this week for coffee? || Tuesday works for me. What time? || 3 pm sounds good. Where do you want to go? || Perfect. See you Tuesday at 3!","I'm free Wednesday and Thursday || At 4 in the afternoon?","'Yes! How about Tuesday?' veya 'I'm free Wednesday and Thursday'. || 'How about 3 pm?' veya 'At 4 in the afternoon?'","","","",""
"daily.a2.micro-halfday.1","daily","B1","Patrondan yarım gün izin isteme","Manager","Manager's office","2","Hey, come on in. What's up? || Sure, of course. || Any reason? Just want to know if it's something urgent. || No problem, that should be fine. Just wrap up your tasks first.","Hey, do you have a minute? I wanted to ask something. || Could I take a half day on Friday?","'Hey, do you have a minute? I wanted to ask something.' ile başla. || Net iste: 'Could I take a half day on Friday?' veya 'Could I leave early on Friday?'","","","",""
"daily.emergency.22.5","daily","B2","Pasaport Kayıp / Konsolosluk","Consulate Officer","Phone call to Turkish Consulate","2","Sorry to hear. Did you file a police report? You'll need that and a photo ID. || Great. Come in tomorrow at 10 with the report, ID, two photos. Emergency document — same day.","Hi, I lost my passport. I'm a Turkish citizen visiting London. How do I get an emergency travel document? || Yes, filed this morning — case number CR-2026. Have my Turkish ID. When can I come in?","Sira: 'Hi, I lost my passport. I'm a Turkish citizen visiting London. How do I get an emergency travel document?' || Detay + soru: 'Yes, filed this morning — case number CR-2026. Have my Turkish ID. When can I come in?'","","","",""
"daily.expand.17","daily","C2","Taşınma — depozito iadesi","Landlord","Phone call about deposit","2","Hi Berk. You got the deposit return statement? || Sure. The big ones are $300 for paint and $200 for carpet cleaning. || Most of it, yes. But there were scuff marks and that wall you painted blue. || Fair point on the blue wall. I'll send photos of what I'm seeing.","Yes — I'd like to go through some of the deductions. || I lived there three years — isn't that normal wear and tear?","'Yes — I'd like to go through some of the deductions.' || İtiraz: 'I lived there three years — isn't that normal wear and tear?'","","","",""
"flirt.deep.10","flirt","A2","Online'dan IRL — Ilk 5 Dakika","Date","First IRL meet after a month of texting","2","Oh my god — okay — hi! This is so weird. || Definitely hug. Okay — wow — you're shorter than I thought, sorry. || Hahaha okay we're already off to a great start. Should we go in? || Okay that's the right answer. Let's go before I get more nervous.","Hi — this is genuinely weirder than I expected. Hug or handshake? || Rude but allowed. Photos lie about height.","Tansiyonu tan: 'Hi — this is genuinely weirder than I expected. Hug or handshake?' || Sakaya cevap: 'Rude but allowed. Photos lie about height.'","","","",""
"flirt.banter.2.1","flirt","B1","İlk Cevaba Karşılık","Match","Mid-conversation dating app chat","2","Honestly? I have an embarrassing amount of knowledge about competitive ferret racing. Don't ask why. || It's a long story but basically my college roommate had three ferrets and we got bored. They wear tiny costumes. || Hahaha okay I'll dig them up. Your turn — give me a weird hobby of yours. || Okay now I'm hungry AND nostalgic for a place I've never been. Solid combo.","Okay now I'm intrigued, you have to explain || Tiny costumes?? I need photos.","Reaksiyon ver: 'Okay now I'm intrigued, you have to explain' veya 'No way — competitive ferret racing??' || Devam: 'Tiny costumes?? I need photos.' veya 'This story just got better.'","","","",""
"flirt.recovery.8.8","flirt","B2","Garip Emoji Hatasi — Geri Al","Match","Recovering from misfired emoji","2","Lol I was wondering what the snake meant. Crisis averted. || So if not a snake — what were you actually trying to say? || Aww okay, words save the day. Thanks 😊","Wow that emoji landed weird — not the energy I meant. Let me try that again — meant the heart! || Thumbs betrayed me — sticking to words. What I meant was, you looked great in that pic.","Ac: 'Wow that emoji landed weird — not the energy I meant. Let me try that again — meant the heart!' || Yumusat: 'Thumbs betrayed me — sticking to words. What I meant was, you looked great in that pic.'","","","",""
"flirt.deep.39","flirt","C2","Aldatma Aciga Cikti — Yuzlesme","Cheating partner","At home — confrontation about cheating","2","How long have you known? || I'm so sorry. It was a mistake — please, can we work through this? || Okay. I'll go. I'm so sorry — I'll wait until you contact me.","Sit down. I know about [name]. Don't lie to me anymore. || Three hours. I'm asking the questions tonight.","Kontrollu giris: 'Sit down. I know about [name]. Don't lie to me anymore.' || Cevap + kontrol: 'Three hours. I'm asking the questions tonight.'","","","",""
"ielts.p1.1","ielts","B1","Part 1 — Home & Hometown","IELTS Examiner","Formal exam room, recording device on table","2","Let's begin. Can you tell me where you live? || And what do you like most about your hometown? || Is there anything you would change about it? || Thank you. Let's move on to a different topic.","I'm from Ankara, but I live in Istanbul now || What I like most is the food","Yer söyle: 'I live in Istanbul' veya 'I'm from Ankara, but I live in Istanbul now'. Türk öğrenci 'I am live' der — yanlış, 'I live' kullan. || Kalıp: 'What I like most is the food' veya 'The best thing is how vibrant it is'.","","","",""
"ielts.p1.5","ielts","B2","Part 1 — Food & Cooking","IELTS Examiner","Formal exam room","2","What kind of food do you like? || Do you cook? How often? || What's a dish you can make well? || Thank you. That's the end of part one.","I'm a big fan of Mediterranean — lots of olive oil, fresh herbs || I try to cook three or four times a week","Tür belirt: 'I'm a big fan of Mediterranean — lots of olive oil, fresh herbs'. Türk öğrenci 'I love food' der, çok genel. || Frekans: 'I try to cook three or four times a week' veya 'Honestly, I rarely cook — I usually order in'.","","","",""
